beta1,beta2,delta,dia_mudanca,e0,gammaH,gammaU,h,ia0,is0,state
1.1024516394755612,0.737320745489634,0.33984524169502717,61.30859975488374,1.4031792212708484e-6,0.23871522452988123,0.25484730745824224,0.1572866086785438,2.3673197746341263e-6,2.430365491277563e-6,PB
1.400977120186852,0.798619626994763,0.35185964562722394,23.290178966706694,5.528828467042078e-7,0.15528331731037265,0.2241248664828589,0.2293861777878809,8.020101348165717e-7,1.949839649372198e-6,RN
1.6095211458660341,0.8161930760783263,0.2788576630334877,40.49587863932303,6.494933118067292e-7,0.19429188064672748,0.32791772712980993,0.15475553732937652,7.76924573851229e-7,1.282965033714111e-6,MA
0.9979146771719632,0.6991403090375894,0.44954396970789534,43.878610501537274,3.9011906872646536e-6,0.24957156648141005,0.22776176467171036,0.16478230262975788,2.8534885239399506e-6,1.8570708675753764e-6,RO
1.4480953639470349,0.6004848354613491,0.4850388061144156,18.247018474293775,8.941279659320762e-7,0.19318735243316312,0.1996657502881249,0.08556707116664813,8.492830828093066e-7,1.2392611585805562e-6,SC
1.8518975993862927,0.6426021389330309,0.47814709203330114,11.683943096270996,3.661293841007628e-7,0.20056520038397663,0.19835828653337376,0.13050593936014837,4.585168648724343e-7,6.264029243584929e-7,RS
1.5608129759991696,0.8662590851312547,0.12837349478269028,65.71316435566284,5.845107794824289e-6,0.15161729072693172,0.30363675828455244,0.14127818669974643,5.971189688631977e-7,8.198852062725945e-6,AC
1.544301323288308,0.7391577072245363,0.2722847784254708,45.66243099437818,1.495222199234269e-6,0.1952047863291332,0.263586500754397,0.22953012591449581,1.4893756073779736e-6,2.2922586948591543e-6,AM
1.3951710788102545,0.9252726464592267,0.24189640576034743,44.7986688864168,1.3080139808610678e-6,0.18994352242701665,0.2683935045459364,0.20861917792581258,1.6896541434929318e-6,1.400484401379206e-6,ES
1.5417757630268558,1.1341290539702162,0.1523809793917814,38.51045519685934,7.940714640987484e-6,0.19418550421289774,0.2242710901271854,0.1544899347617941,5.763270854917181e-6,1.5356644496376278e-5,RR
1.6131129935012052,0.6896819233462077,0.28663000675060907,43.40798802357073,5.542011288718629e-7,0.19596696829730728,0.2014703237283365,0.34970449143217436,3.528818048491226e-7,5.913852054809006e-7,PE
1.167621674162261,0.8336444888687465,0.3061780644503514,46.90850583709316,1.4477465836573728e-6,0.20633019756731305,0.33241224510637757,0.18449006918747662,1.9895776531576914e-6,1.9715669245765353e-6,PI
1.3152384692410135,0.5780346731277823,0.49556063751061663,39.00301019463227,1.1479642518356395e-7,0.21045984928611688,0.23586969063575378,0.33244712162131296,9.972991083495983e-8,9.488921307982983e-8,SP
1.368504892817511,0.5235304244771212,0.6717492492908929,14.211580539792502,2.0314038546556695e-7,0.1604306279780059,0.2155088558955908,0.1418259256805518,2.495215445025868e-7,2.324363266635758e-7,MG
1.3469074707656352,0.5989118484014174,0.46316120604235295,37.20327205243171,2.8272963371158553e-7,0.1763351637240108,0.286616426169669,0.34962102868679357,3.0128672599394853e-7,2.5784771089559504e-7,RJ
1.2273184281818303,1.2952378363909702,0.1381956136623111,57.55930690604355,2.02935542225779e-6,0.1789037313832852,0.19089923671925493,0.08156760650953428,2.5601725030489733e-6,3.5516290358322514e-6,MS
1.657222176913306,1.0619491823374727,0.19277494206319795,36.78624016365872,2.885918500089309e-6,0.16521020604383035,0.16487020525992613,0.13032874716044263,6.0711067190799105e-6,9.096992780397247e-6,AP
1.7075256645345422,0.8853887520773077,0.320686710479955,13.605849415325938,1.398392991076915e-6,0.13190762120310975,0.08533281816385768,0.11135828102248808,2.2019607187624816e-6,2.0611094033109174e-6,DF
1.5473093009346655,0.9617824447467352,0.19198115963605486,59.58417981666605,2.327010092173918e-6,0.19781911945226904,0.23970890332275402,0.11611226931664495,1.0063903401209655e-6,4.1727817452932194e-7,SE
1.7678597360481292,0.5200958948491344,0.6443122864268028,10.36339416753908,1.7519562968610342e-7,0.20783974950040818,0.2626400962592605,0.17950836707200094,4.050903513551713e-7,4.3281068025948923e-7,PR
1.1342468064175677,0.8245537509559431,0.32098404132472264,61.346821182992976,7.777183131408777e-9,0.2332354719759429,0.2611678074552259,0.21256276746143749,1.3042693859136484e-6,1.2441938072312999e-6,AL
1.6255037157592258,1.0261381767464355,0.1946803523033297,41.049203507264565,2.4692202584469077e-7,0.16076989425740937,0.28064432018592916,0.17440054261485674,4.902051015838681e-7,3.7716063480361536e-7,BA
1.4515747802511099,0.78373454293719,0.2074181623754296,63.259384400969616,3.6421713067802032e-6,0.19424314125952977,0.20831107585305836,0.11155578919825647,1.467375642821583e-6,3.617915180194898e-7,TO
0.9991660099796453,0.5310389970429217,0.5872350527851388,46.327667623359076,5.28278533758056e-7,0.16929747777642323,0.30449411545843486,0.344441971489319,6.938402585410984e-7,9.776062868993916e-7,PA
1.2363913017257693,0.6607665719153267,0.5354774849174826,10.116482636433274,7.860291443142336e-7,0.23368437245978882,0.33303881974658556,0.1485453111650232,7.133448969565304e-7,7.393825210986377e-7,GO
1.3134439433989078,0.5888327767641695,0.5172429037809766,44.14258625599224,1.9996569990053615e-8,0.18142828382337242,0.2383525391709912,0.28098567869125274,3.623603906270008e-8,2.5414346298119016e-8,TOTAL
1.3408810595076992,1.18640831978552,0.18949284754503698,8.26217731823235,2.2287591736440794e-6,0.15051108653873385,0.1105562673864423,0.24675802048111878,2.1188106384843273e-6,2.6030351644550536e-6,MT
1.8246678898489093,0.5847836042111098,0.5344507773092132,19.89142308939395,6.566920145409892e-7,0.19179784446155138,0.22372709363846868,0.3037794189087766,6.144798106085605e-7,8.856499726154981e-7,CE
