Field name;Field name given by PAMEpi;Field label;Type;Categories;Values that appear in the Dateset along with the PAMEpi harmonizatios (for categorical variables);Description
DT_2_DOSE;dt_2_dose;If >= 6 months and <= 8 years date of 2nd dose for children vaccinated for the first time;Date DD/MM/AAAA;Uncategorized;Uncategorized;Essential field. enable field. If the Age of the case is >= 6 months and <= 8 years
ANTIVIRAL;antiviral;42-Did you use an antiviral to treat the disease?;Number;1-Sim (yes), 2-Não (no), 9-Ignorado (ignored);1-Sim, 2-Não, 9-Ignorado ;Essential field. Value 9 when not populated or marked as Ignored.
TP_ANTIVIR;tp_antivir;43-Which antiviral used?;Number;1- Oseltamivir, 2- Zanamivir, 3- Outro (Other);1- Oseltamivir, 2- Zanamivir, 3- Outro, 9-Ignorado;Essential field. Enabled if field 39- Which antiviral? is equal to 1. Value 9 when not filled
OUT_ANTIV;out_antiv;If the antiviral used was not Oseltamivir or Zanamivir, inform which antiviral was;String;Uncategorized;Uncategorized;Essential field. Enabled if field 40- Which antiviral? is equal to 3.
DT_ANTIVIR;dt_antivir;44-Date on which antiviral treatment was started.;Date DD/MM/AAAA;Uncategorized;Uncategorized;Essential field. Enabled if field 39-Did you use flu antiviral? is equal to 1. Date must be <= the Date of typing (Current Date).
HOSPITAL;hospital;45-Was the patient hospitalized?;Number;1-Sim (yes), 2-Não (no), 9-Ignorado (ignored);1-Sim, 2-Não, 9-Ignorado ;Essential field. If the field is not equal to 1 – Yes, the system will issue a warning indicating that it does not meet the case definition. Value 9 when not populated or marked as Ignored.
DT_INTERNA;dt_interna;46-Date the patient was hospitalized.;Date DD/MM/AAAA;Uncategorized;Uncategorized;Required field. Date must be greater than or equal to 2- Date of 1st symptoms and less than or equal to Date of (current) typing.
SG_UF_INTE;uf_inte;47-Federal Unit of Patient Hospitalization.;String;Table with code and acronyms of the UF standardized by IBGE.;Uncategorized;Essential field. Enabled if field 42-Was there hospitalization? is equal to 1
ID_RG_INTE;reg_inte;Health Regional where the patient's hospital is located.;String;Table with code and names of the Health Regionals of the municipalities of hospitalization standardized by the IBGE.;Uncategorized;Internal Field.By filling in the name of the inpatient health regional, the code is automatically filled in, and vice versa.
CO_RG_INTE;reg_code_inte;Regional Health Code where the patient's hospital is located.;Number;Table with code and names of the Health Regionals of the municipalities of hospitalization standardized by the IBGE.;Uncategorized;Internal Field.By filling in the name of the inpatient health regional, the code is automatically filled in, and vice versa.
ID_MN_INTE;mun_inte;48-Municipality where the Health Unit where the patient was hospitalized is located.;String;Table with code and names of Municipalities standardized by IBGE.;Uncategorized;Essential field. Enabled if field 42-Was there hospitalization? is equal to 1
CO_MU_INTE;mun_code_inte;48-Code of the Municipality where the Health Unit where the patient was hospitalized is located.;Number;Table with code and names of Municipalities standardized by IBGE.;Uncategorized;Essential field. Enabled if field 42-Was there hospitalization? is equal to 1
UTI;uti;50Was the patient admitted to the ICU?;String;1-Sim (yes), 2-Não (no), 9-Ignorado (ignored);1-Sim, 2-Não, 9-Ignorado ;Essential field. Value 9 when not populated or marked as Ignored.
DT_ENTUTI;dt_in_uti;51-Date of patient admission to the Intensive Care Unit (ICU).;Date DD/MM/AAAA;Uncategorized;Uncategorized;Essential field. Enabled if field 47-Inpatient in ICU? is equal to 1. Date must be greater than or equal to 2-Date of 1st symptoms of SARS and less than or equal to Date of (current) typing.
DT_SAIDUTI;dt_out_uti;52-Date the patient left the Intensive Care Unit (ICU).;Date DD/MM/AAAA;Uncategorized;Uncategorized;Essential field. Enabled if field 47-Inpatient in ICU? is equal to 1. Date must be greater than or equal to the 48-Date of the ICU entry and less than or equal to the Date of the (current) entry.
SUPORT_VEN;suport_ven;53-Did the patient use ventilatory support?;Number;1-Sim, invasivo (Yes, invasive), 2-Sim, não invasivo (Yes, non-invasive), 3-Não (No), 9-Ignorado (ignored);1-Sim, invasivo, 2-Sim, não invasivo, 3-Não, 9-Ignorado;Essential field. Value 9 when not populated or marked as Ignored.
RAIOX_RES;raiox_res;54-Inform the result of the X-ray of the Chest.;Number;1-Normal (Normal), 2-Infiltrado intersticial (Interstitial infiltrate), 3-Consolidação (Consolidation), 4-Misto (Mixed), 5-Outro (Other), 6-Não realizado (Not performed), 9-Ignorado (ignored);1-Normal, 2-Infiltrado intersticial, 3-Consolidação, 4-Misto, 5-Outro, 6-Não realizado, 9-Ignorado;Essential field. Value 9 when not populated or marked as Ignored.
RAIOX_OUT;raiox_out;Inform the result of the chest X-ray if option 5-Other is selected.;String;Uncategorized;Uncategorized;Essential field. Field Enabled 51 - Chest X-Ray = 5 (Other).
DT_RAIOX;dt_raiox;55-If you performed a Chest X-ray, specify the date of the exam.;Date DD/MM/AAAA;Uncategorized;Uncategorized;Essential field. Enabled if field 51 - Chest X-Ray equals 1, 2, 3, 4, or 5.
TOMO_RES;tomo_res;56-Inform the result of the tomography.;Number;1-Tipico covid-19 (Typical covid-19), 2- Indeterminado covid-19 (Undetermined covid-19), 3- Atípico covid-19 (Atypical covid-19), 4- Negativo para Pneumonia (Negative for Pneumonia), 5- Outro (Other), 6-Não realizado (Not performed), 9-Ignorado (ignored), ;1-Tipico covid-19, 2- Indeterminado covid-19, 3- Atípico covid-19, 4- Negativo para Pneumonia, 5- Outro, 6-Não realizado, 9-Ignorado;Essential field.  Value 9 when not populated or marked as Ignored.
TOMO_OUT;tomo_out;Inform the tomography result if option 5-Other is selected;String;Uncategorized;Uncategorized;Essential field. Field enabled 53- Tomography Aspect = 5 (Other
DT_TOMO;dt_tomo;57-If a tomography was performed, specify the date of the exam.;Date DD/MM/AAAA;Uncategorized;Uncategorized;Essential field. Enabled if field 53- Tomography Aspect is equal to 1, 2, 3, 4 or 5.
AMOSTRA;amostra;58-Was a sample collection performed to perform a diagnostic test?;String;1-Sim (yes), 2-Não (no), 9-Ignorado (ignored);1-Sim, 2-Não, 9-Ignorado ;Essential field. Value 9 when not populated or marked as Ignored.
DT_COLETA;dt_coleta;59-Date of sample collection to perform the diagnostic test.;Date DD/MM/AAAA;Uncategorized;Uncategorized;Essential field. Field Enabled 55-Have you sampled? = 1. Date must be greater than or equal to 2-Date of 1st symptoms and less than or equal to Date of (current) typing.
TP_AMOSTRA;tp_amostra;60-Type of clinical sample collected for diagnostic testing.;String;1-Secreção de Naso orofaringe (Secretion from Naso-oropharynx), 2-Lavado Broco-alveolar (Brocco-alveolar lavage), 3-Tecido post-mortem (Post-mortem tissue), 4-Outra, qual? (Other, which one?), 5-LCR (cerebrospinal fluid), 9-Ignorado (ignored);1-Secreção de Naso-orofaringe, 2-Lavado Broco-alveolar, 3-Tecido post-mortem, 4-Outra, qual?, 5-LCR, 9-Ignorado;Essential field. Field Enabled 55-Have you sampled? = 1. Value 9 when not populated or marked as Ignored.
OUT_AMOST;out_amost;60-Description of the clinical sample type, if different from those listed in the field categories.;String;Uncategorized;Uncategorized;Essential field. Enabled field if selected category 4-Other, which in Sample type.
TP_TES_AN;tp_tes_an;62-Type of antigenic test that was performed.;Number;1-Imunofluorescência (Immunofluorescence), 2- Teste rápido antigênico (Rapid antigenic test);1-Imunofluorescência (IF), 2- Teste rápido antigênico, 9-Ignorado;Essential field. Value 9 when not filled
DT_RES_AN;dt_res_an;63-Date of the antigenic test result.;Date DD/MM/AAAA;Uncategorized;Uncategorized;Essential field. Date must be greater than or equal to 56- Date of Collection, RES_AN;res_an;64-Result of the Antigenic Test;String;1-Positivo (Positive), 2-Negativo (Negative), 3- Inconclusivo (Inconclusive), 4-Não realizado (Not performed), 5-Aguardando resultado (Awaiting result), 9-Ignorado (ignored);1-Positivo, 2-Negativo, 3- Inconclusivo, 4-Não realizado, 5-Aguardando resultado, 9-Ignorado;Essential field. This field will be marked with 5-Waiting for Result and will be enabled if the field 55-Collected sample? = 1 Value 9 when not populated or marked as Ignored.
LAB_AN;lab_an;65-Laboratory responsible for releasing the antigenic test result.;String;Names of Laboratories registered in the system;Uncategorized;Essential field. Enabled if field 61- Antigenic test result: is selected as 1-Positive, 2- Negative, 3- Inconclusive or 5- Awaiting result. By filling in the name of the Laboratory, the code is automatically filled in, or vice versa.
POS_AN_FLU;pos_an_flu;66-Antigen Test Result that was positive for, Influenza;Number;1-Sim (yes), 2-Não (no), 9-Ignorado (ignored);1-Sim, 2-Não, 9-Ignorado ;Essential Field
TP_FLU_AN;tp_flu_an;66-Result of the Antigenic Test, for the type of Influenza.;Number;1-Influenza A, 2-Influenza B;1-Influenza A, 2-Influenza B, 9-Ignorado;Essential field. Enabled if field 63-Etiologic agent – ​​Antigenic Test: Positive for Influenza? = 1. Value 9 when not filled in.
POS_AN_OUT;pos_an_out;66-Result of the Antigenic Test, which was positive for another respiratory virus.;Number;1-Sim (yes), 2-Não (no), 9-Ignorado (ignored);1-Sim, 2-Não, 9-Ignorado ;Essential field. Value 9 when not populated or marked as Ignored.
AN_SARS2;an_sars3;66- Antigenic Test Result, for SARS-CoV-2.;Number;1-marcado pelo usuário (checked by user), Vazio - não marcado (empty when not checked);1-Sim, 9-Ignorado;Essential field. Enabled if field 63-Etiologic agent, Antigenic Test. Positive for other viruses? = 1. Value 9 when not filled in.
AN_VSR;an_vsr;66-Result of the Antigenic Test for Respiratory Syncytial Virus.;Number;1-marcado pelo usuário (checked by user), Vazio - não marcado (empty when not checked);1-Sim, 9-Ignorado;Essential field. Enabled if field 63-Etiologic agent, Antigenic Test. Positive for other viruses? = 1. Value 9 when not filled in.
AN_PARA1;an_para2;66-Result of the Antigenic Test, for Parainfluenza 1.;Number;1-marcado pelo usuário (checked by user), Vazio - não marcado (empty when not checked);1-Sim, 9-Ignorado;Essential field. Enabled if field 63-Etiologic agent, Antigenic Test. Positive for other viruses? = 1. Value 9 when not filled in.
AN_PARA2;an_para3;66-Result of the Antigenic Test. Parainfluenza 2.;Number;1-marcado pelo usuário (checked by user), Vazio - não marcado (empty when not checked);1-Sim, 9-Ignorado;Essential field. Enabled if field 63-Etiologic agent, Antigenic Test. Positive for other viruses? = 1. Value 9 when not filled in.
AN_PARA3;an_para4;66- Result of the Antigenic Test. Parainfluenza 3.;Number;1-marcado pelo usuário (checked by user), Vazio - não marcado (empty when not checked);1-Sim, 9-Ignorado;Essential field. Enabled if field 63-Etiologic agent, Antigenic Test. Positive for other viruses? = 1. Value 9 when not filled in.
AN_ADENO;an_adeno;66-Antigenic Test Result. Adenovirus.;Number;1-marcado pelo usuário (checked by user), Vazio - não marcado (empty when not checked);1-Sim, 9-Ignorado;Essential field. Enabled if field 63-Etiologic agent, Antigenic Test. Positive for other viruses? = 1. Value 9 when not filled in.
AN_OUTRO;an_outro;66-Antigenic Test Result. Another respiratory virus.;Number;1-marcado pelo usuário (checked by user), Vazio - não marcado (empty when not checked);1-Sim, 9-Ignorado;Essential field. Enabled if field 63-Etiologic agent, Antigenic Test. Positive for other viruses? = 1. Value 9 when not filled in.
DS_AN_OUT;ds_an_out;66-Name of the other respiratory virus identified by the Antigenic Test.;String;Uncategorized;Uncategorized;Essential field. Enabled if field 63-Etiologic agent, Antigenic Test. Positive for other viruses? = 1.
PCR_RESUL;pcr_resul;67-Result of RT-PCR test/other method by Molecular Biology.;Number;1-Detectável (detectable), 2-Não Detectável (not detectable), 3-Inconclusivo (Inconclusive), 4-Não realizado (Not performed), 5-Aguardando Resultado (Awaiting result), 9-Ignorado (ignored);1-Detectável, 2-Não Detectável, 3-Inconclusivo, 4-Não realizado, 5-Aguardando Resultado, 9-Ignorado;Essential field. This field will be marked with 5-Waiting for Result and will be enabled if the field 55-Collected sample? = 1. Value 9 when not populated or marked as Ignored.
DT_PCR;dt_pcr;68-Date of RT-PCR Result/other method by Molecular Biology;Date DD/MM/AAAA;Uncategorized;Uncategorized;Essential field. Enabled field if selected category 1-Detectable, 2-Not Detectable or 3-Inconclusive in Result of RT-PCR/other method by Molecular Biology. Date must be >= the Date of the collection - field 56.
POS_PCRFLU;pos_pcrflu;69-RT-PCR result was positive for Influenza, ;Number;1-Sim (yes), 2-Não (no), 9-Ignorado (ignored);1-Sim, 2-Não, 9-Ignorado ;Essential field. Value 9 when not populated or marked as Ignored.
TP_FLU_PCR;tp_flu_pcr;69-Diagnostic result of the RT PCR for the type of Influenza.;Number;1-Influenza A, 2-Influenza B;1-Influenza A, 2-Influenza B, 9-Ignorado;Essential field. Enabled if field 66-Etiologic agent – ​​RT_PCR/other method by Molecular Biology: Positive for Influenza? = 1. Value 9 when not filled in.
PCR_FLUASU;pcr_fluasu;69-Subtype for Influenza A.;Number;1-Influenza A(H1N1), 2-Influenza A (H3N2), 3-Influenza A não subtipado (not subtyped), 4-Influenza A não subtipável (not subtypable), 5-Inconclusivo (Inconclusive), 6-Outro, especifique: (Other, please specify:);1-Influenza A(H1N1), 2-Influenza A (H3N2), 3-Influenza A não subtipado, 4-Influenza A não subtipável, 5-Inconclusivo, 6-Outro, especifique: 9-Ignorado;Essential field. Enabled if field 66-Etiologic agent – ​​RT_PCR/other method by Molecular Biology: If yes, which Influenza? = 1. Value 9 when not filled in.
FLUASU_OUT;fluasu_out;69-Another subtype for Influenza A.;String;Uncategorized;Uncategorized;Essential field. Enabled if Etiologic agent - RT-PCR/other method by Molecular Biology: If Influenza A, which subtype? = 6.
PCR_FLUBLI;pcr_flubli;69-Strain for Influenza B.;Number;1-Victoria, 2-Yamagatha, 3-Não realizado (Not performed), 4-Inconclusivo (Inconclusive), 5-Outro, especifique: (Other, please specify:);1-Victoria, 2-Yamagatha, 3-Não realizado, 4-Inconclusivo, 5-Outro, especifique: 9-Ignorado (ignored);Essential field. Enabled if field 66-Etiologic agent – ​​RT_PCR/other method by Molecular Biology: If yes, which Influenza? = 2. Value 9 when not filled in.
FLUBLI_OUT;flubli_out;69-Another strain for Influenza B.;String;Uncategorized;Uncategorized;Essential field. Enabled if 66- Etiologic agent - RT-PCR/other method by Molecular Biology: If Influenza B, which strain? = 5.
POS_PCROUT;pos_pcrout;69-RT PCR result was positive for another respiratory virus;Number;1-Sim (yes), 2-Não (no), 9-Ignorado (ignored);1-Sim, 2-Não, 9-Ignorado ;Essential field. Value 9 when not populated or marked as Ignored.
PCR_SARS2;pcr_sars3;69- RT PCR diagnostic result for (SARS-CoV 2).;Number;1-marcado pelo usuário (checked by user), Vazio - não marcado (empty when not checked);1-Sim, 9-Ignorado;Essential field. Enabled if field 66- Etiologic agent - RT-PCR/other method by Molecular Biology: Positive for other viruses? = 1. Value 9 when not filled in.
PCR_VSR;pcr_vsr;69-Diagnostic result of RT PCR for Respiratory Syncytial Virus..;Number;1-marcado pelo usuário (checked by user), Vazio - não marcado (empty when not checked);1-Sim, 9-Ignorado;Essential field. Enabled if field 66- Etiologic agent - RT-PCR/other method by Molecular Biology: Positive for other viruses? = 1. Value 9 when not filled in.
PCR_PARA1;pcr_para2;69- Diagnostic result of RT PCR for Parainfluenza 1.;Number;1-marcado pelo usuário (checked by user), Vazio - não marcado (empty when not checked);1-Sim, 9-Ignorado;Essential field. Enabled if field 66- Etiologic agent - RT-PCR/other method by Molecular Biology: Positive for other viruses? = 1. Value 9 when not filled in.
PCR_PARA2;pcr_para3;69- Diagnostic result of RT PCR for Parainfluenza 2.;Number;1-marcado pelo usuário (checked by user), Vazio - não marcado (empty when not checked);1-Sim, 9-Ignorado;Essential field. Enabled if field 66- Etiologic agent - RT-PCR/other method by Molecular Biology: Positive for other viruses? = 1. Value 9 when not filled in.
PCR_PARA3;pcr_para4;69- Diagnostic result of RT PCR for Parainfluenza 3.;Number;1-marcado pelo usuário (checked by user), Vazio - não marcado (empty when not checked);1-Sim, 9-Ignorado;Essential field. Enabled if field 66- Etiologic agent - RT-PCR/other method by Molecular Biology: Positive for other viruses? = 1. Value 9 when not filled in.
PCR_PARA4;pcr_para5;69- Diagnostic result of RT PCR for Parainfluenza 4.;Number;1-marcado pelo usuário (checked by user), Vazio - não marcado (empty when not checked);1-Sim, 9-Ignorado;Essential field. Enabled if field 66- Etiologic agent - RT-PCR/other method by Molecular Biology: Positive for other viruses? = 1. Value 9 when not filled in.
PCR_ADENO;pcr_adeno;69-Diagnostic result of RT PCR for Adenovirus.;Number;1-marcado pelo usuário (checked by user), Vazio - não marcado (empty when not checked);1-Sim, 9-Ignorado;Essential field. Enabled if field 66- Etiologic agent - RT-PCR/other method by Molecular Biology: Positive for other viruses? = 1. Value 9 when not filled in.
PCR_METAP;pcr_metap;69-Diagnostic result of RT PCR for Metapneumovirus.;Number;1-marcado pelo usuário (checked by user), Vazio - não marcado (empty when not checked);1-Sim, 9-Ignorado;Essential field. Enabled if field 66- Etiologic agent - RT-PCR/other method by Molecular Biology: Positive for other viruses? = 1. Value 9 when not filled in.
PCR_BOCA;pcr_boca;69-Diagnostic result of RT PCR for Bocavirus.;Number;1-marcado pelo usuário (checked by user), Vazio - não marcado (empty when not checked);1-Sim, 9-Ignorado;Essential field. Enabled if field 66- Etiologic agent - RT-PCR/other method by Molecular Biology: Positive for other viruses? = 1. Value 9 when not filled in.
PCR_RINO;pcr_rino;69-Diagnostic result of RT PCR for Rhinovirus.;Number;1-marcado pelo usuário (checked by user), Vazio - não marcado (empty when not checked);1-Sim, 9-Ignorado;Essential field. Enabled if field 66- Etiologic agent - RT-PCR/other method by Molecular Biology: Positive for other viruses? = 1. Value 9 when not filled in.
PCR_OUTRO;pcr_outro;69-Diagnostic result of RT PCR for Other respiratory virus.;Number;1-marcado pelo usuário (checked by user), Vazio - não marcado (empty when not checked);1-Sim, 9-Ignorado;Essential field. Enabled if field 66- Etiologic agent - RT-PCR/other method by Molecular Biology: Positive for other viruses? = 1. Value 9 when not filled in.
DS_PCR_OUT;ds_pcr_out;69-Name of the other respiratory virus identified by RT-PCR.;String;Uncategorized;Uncategorized;Essential field. Enabled if 66- Etiologic agent - RT-PCR/other method by Molecular Biology: Other respiratory virus, specify:
TP_AM_SOR;tp_am_sor;71-Type of serological sample that was collected.;Number;1- Sangue/plasma/soro (Blood/plasma/serum), 2-Outra, qual?  (Other, which one?), 9-Ignorado (ignored);1- Sangue/plasma/soro, 2-Outra, qual?, 9-Ignorado;Essential field. Value 9 when not populated or marked as Ignored.
SOR_OUT;sor_out;71-Description of the type of clinical sample, if different from those listed in category one (1) of the field.;String;Uncategorized;Uncategorized;Essential field. Field enabled if selected category 2-Other, which one?, in Serological Sample Type.
DT_CO_SOR;dt_co_sor;72-Date of collection of material for diagnosis by Serology.;Date DD/MM/AAAA;Uncategorized;Uncategorized;Essential field. Field Enabled 55-Have you sampled? = 1. Date must be greater than or equal to 2-Date of 1st symptoms and less than or equal to Date of (current) typing.
TP_SOR;tp_sor;73-Type of Serological Test that was performed;Number;1-Teste rápido (Rapid test), 2- Elisa, 3- Quimiluminescência (Chemiluminescence), 4- Outro, qual? (Other, which one?);1-Teste rápido, 2- Elisa, 3- Quimiluminescência, 4- Outro, qual, 9- Ignorado;Essential field. Value 9 when not filled in.
OUT_SOR;out_sor;73-Description of the type of Serological Test/Other type of Serological sample;String;Uncategorized;Uncategorized;Essential Field, Field enabled if selected category 4-Other, which one? in Serology Type. Column concatenated with SOR_OUT as they refer to the same field on the form. Values ​​were separated by /.
RES_IGG;res_igg;73-Serology Result for SARS-CoV-2 - IgG;Number;1-Positivo (Positive), 2-Negativo (Negative), 3- Inconclusivo (Inconclusive), 4-Não realizado (Not performed), 5-Aguarda resultado (Awaiting results), 9 - Ignorado (Ignored);1-Positivo, 2-Negativo, 3- Inconclusivo, 4-Não realizado, 5-Aguarda resultado, 9 Ignorado;Essential field. Value 9 when not populated or marked as Ignored.
RES_IGM;res_igm;73-Serology Result for SARS-CoV-2 - IgM;Number;1-Positivo (Positive), 2-Negativo (Negative), 3- Inconclusivo (Inconclusive), 4-Não realizado (Not performed), 5-Aguarda resultado (Awaiting results), 9 Ignorado (Ignored);1-Positivo, 2-Negativo, 3- Inconclusivo, 4-Não realizado, 5-Aguarda resultado, 9 Ignorado;Essential field. Value 9 when not populated or marked as Ignored.
RES_IGA;res_iga;73-Serology Result for SARS-CoV-2 - IgA;Number;1-Positivo (Positive), 2-Negativo (Negative), 3- Inconclusivo (Inconclusive), 4-Não realizado (Not performed), 5-Aguarda resultado (Awaiting results), 9 Ignorado (Ignored);1-Positivo, 2-Negativo, 3- Inconclusivo, 4-Não realizado, 5-Aguarda resultado, 9 Ignorado;Essential field. Value 9 when not populated or marked as Ignored.
DT_RES;dt_res;74-Date of the Serological Test Result;Date DD/MM/AAAA;Uncategorized;Uncategorized;Essential field. Date must be greater than or equal to 69- Date of Collection
CLASSI_FIN;class_fin;74-Final diagnosis of the case. If you have divergent results between laboratory methodologies, prioritize the RT PCR result.;String;1-SRAG por influenza (SARS by influenza), 2-SRAG por outro vírus respiratório (SARS by another respiratory virus), 3-SRAG por outro agente etiológico, qual?:  (SARS by another etiologic agent, which one?:), 4-SRAG não especificado (SARS unspecified), 5-SRAG por covid-19 (SARS by covid-19);1-SRAG por influenza, 2-SRAG por outro vírus respiratório, 3-SRAG por outro agente etiológico, qual:, 4-SRAG não especificado, 5-SRAG por covid-19, 9-Ignorado;Required field. Value 9 when not filled in.
CLASSI_OUT;classi_out;75-Description of which other etiological agent was identified;String;Uncategorized;Uncategorized;Required field. If field 72-Final Case Classification = 3. Enabled if field 72-Final Case Classification = 3. CRITERIO;criterio;76-Indicate the confirmation criterion.;String;1. Laboratorial (Laboratory), 2. Clínico Epidemiológico (Clinical Epidemiological), 3. Clínico  (Clinical), 4. Clínico Imagem (Clinical image);1. Laboratorial, 2. Clínico Epidemiológico, 3. Clínico, 4. Clínico Imagem, 9. Ignorado;Essential field. Value 9 when not filled in.
EVOLUCAO;ev_caso;77-Evolution of the case;String;1-Cura (Cure), 2-Óbito (Death), 3- Óbito por outras causas (Death from other causes), 9-Ignorado (ignored);1-Cura, 2-Óbito, 3- Óbito por outras causas, 9-Ignorado;Essential field. Value 9 when not populated or marked as Ignored.
DT_EVOLUCA;dt_evoluca;78-Date of discharge or death;Date DD/MM/AAAA;Uncategorized;Uncategorized;Essential field. Date of discharge or death must be > or = the Date of the first symptoms and <= the Date of the (current) entry. Enabled if field 74- Case evolution = 1 or 2.
DT_ENCERRA;dt_enc;79-Date of closing the case.;Date DD/MM/AAAA;Uncategorized;Uncategorized;Required field. If field 72- Final classification of the case is filled. Closing Date must be > or = the Filling Date. Closing date must be < or = the (current) typing date.
OBSERVA;observa;81-Other observations about the patient considered relevant.;String;Uncategorized;Uncategorized;Optional Field
DT_DIGITA;dt_digita;Date of inclusion of the record in the system.;Date DD/MM/AAAA;Uncategorized;Uncategorized;Internal Field.Automatically filled in by the system with the Date when the form was entered. It is not the Date for filling in the form manually, but the Date on which it is entered into the system. It is not updated if there are subsequent data changes.
